"id";"fecha";"importe";"tipoPago";"concepto";"polizas.id";"companias.id";"nroRecibo";"fechaVencimiento"
4490;19/4/2010 00:00:00;128,35;"P";"CUOTA 4";1477;;4;
4491;19/4/2010 00:00:00;115,00;"P";"CUOTA 3";1566;;3;
4492;19/4/2010 00:00:00;115,00;"P";"CUOTA 3";1565;;3;
4493;19/4/2010 00:00:00;225,00;"P";"cuota 2";1684;;2;
4494;19/4/2010 00:00:00;223,00;"P";"CUOTA 5";1446;;5;
4495;16/3/2010 00:00:00;199,00;"P";"CUOTA 3";1549;;3;
4496;13/4/2010 00:00:00;199,00;"P";"CUOTA 4";1549;;4;
4497;15/4/2010 00:00:00;195,00;"P";"CUOTA 4";1523;;4;
4498;5/1/2010 00:00:00;193,25;"P";"CUOTA 1";1523;;1;
4499;11/3/2010 00:00:00;195,00;"P";"CUOTA 3";1523;;3;
4500;15/3/2010 00:00:00;225,00;"P";"CUOTA 7";1265;;7;
4501;15/4/2010 00:00:00;225,00;"P";"CUOTA 8";1265;;8;
4502;15/3/2010 00:00:00;182,00;"P";"CUOTA 3";1551;;3;
4503;16/4/2010 00:00:00;182,00;"P";"CUOTA 4";1551;;4;
4504;15/3/2010 00:00:00;259,70;"P";"CUOTA 5";1358;;5;
5236;8/2/2010 00:00:00;1794,00;"C";"LIQ. 95813";;6;;
4505;19/4/2010 00:00:00;259,70;"P";"CUOTA 6";1358;;6;
4506;22/4/2010 00:00:00;156,24;"P";"CUOTA 6";1383;;6;
4507;20/4/2010 00:00:00;65,00;"P";"CUOTA 2";1714;;2;
4508;14/4/2010 00:00:00;142,00;"P";"CUOTA 1";1722;;1;
4509;23/4/2010 00:00:00;124,00;"P";"CUOTA 5";1487;;5;
4510;26/4/2010 00:00:00;310,67;"P";"CUOTA 4";1543;;4;
4511;1/2/2010 00:00:00;229,63;"P";"CUOTA 1";1557;;1;
4512;1/3/2010 00:00:00;229,00;"P";"CUOTA 2";1557;;2;
4513;6/4/2010 00:00:00;229,00;"P";"CUOTA 3";1557;;3;
4514;4/5/2010 00:00:00;229,00;"P";"CUOTA 4";1557;;4;
4515;26/4/2010 00:00:00;101,00;"P";"CUOTA 9";1259;;9;
4516;27/4/2010 00:00:00;142,66;"P";"CUOTA 4";1545;;4;
4517;6/4/2010 00:00:00;142,66;"P";"CUOTA 3";1545;;3;
4518;29/4/2010 00:00:00;11,00;"P";"CUOTA 8";1257;;8;
4519;29/4/2010 00:00:00;182,00;"P";"CUOTA 9";1256;;9;
4520;30/4/2010 00:00:00;-3,18;"P";"CUOTA 5";1620;;5;
4521;30/4/2010 00:00:00;45,41;"P";"CUOTA 5";1619;;5;
4522;30/4/2010 00:00:00;240,89;"P";"CUOTA 5";1617;;5;
4523;30/4/2010 00:00:00;136,50;"P";"CUOTA 4";1561;;4;
4524;30/4/2010 00:00:00;187,00;"P";"CUOTA 3";1596;;3;
4525;6/4/2010 00:00:00;93,48;"P";"CUOTA 8";1280;;8;
4526;3/5/2010 00:00:00;93,48;"P";"CUOTA 9";1280;;9;
4527;4/5/2010 00:00:00;270,07;"P";"CUOTA 1";1737;;1;
4528;4/5/2010 00:00:00;202,00;"P";"CUOTA 1";1761;;1;
4529;30/4/2010 00:00:00;303,52;"P";"CUOTA 1";1735;;1;
4530;3/5/2010 00:00:00;4350,74;"C";"LIQ. 14589";;8;;
4531;29/4/2010 00:00:00;6989,27;"C";"LIQ. 12556";;2;;
4532;7/5/2010 00:00:00;259,89;"C";"LIQ.  13082";;2;;
4533;7/5/2010 00:00:00;1503,95;"C";"LOTE 283349";;7;;
4534;10/2/2010 00:00:00;383,88;"P";"CUOTA 4";1386;;4;
4535;10/3/2010 00:00:00;383,88;"P";"CUOTA 5";1386;;5;
4536;10/4/2010 00:00:00;383,88;"P";"CUOTA 6";1386;;6;
4537;9/4/2010 00:00:00;207,66;"P";"CUOTA 1";1767;;1;
4538;10/5/2010 00:00:00;207,66;"P";"CUOTA 2";1767;;2;
4539;10/5/2010 00:00:00;153,00;"P";"CUOTA 5";1553;;5;
4540;10/5/2010 00:00:00;211,00;"P";"CUOTA 6";1441;;6;
4541;14/4/2010 00:00:00;244,00;"P";"CUOTA 2";1595;;2;
4542;14/4/2010 00:00:00;255,00;"P";"CUOTA 2";1683;;2;
4543;14/4/2010 00:00:00;166,00;"P";"CUOTA 7";1404;;7;
4544;15/4/2010 00:00:00;113,00;"P";"CUOTA 6";1380;;6;
4545;14/3/2010 00:00:00;113,00;"P";"CUOTA 5";1380;;5;
4546;14/3/2010 00:00:00;197,00;"P";"CUOTA 9";1141;;9;
4547;15/4/2010 00:00:00;197,00;"P";"CUOTA 10";1141;;10;
4548;6/12/2009 00:00:00;113,00;"P";"CUOTA 3";1403;;3;
4549;5/1/2010 00:00:00;113,00;"P";"CUOTA 4";1403;;4;
4550;3/2/2010 00:00:00;113,00;"P";"CUOTA 5";1403;;5;
4551;3/3/2010 00:00:00;113,00;"P";"CUOTA 6";1403;;6;
4552;7/4/2010 00:00:00;113,00;"P";"CUOTA 7";1403;;7;
4553;3/2/2010 00:00:00;177,49;"P";"CUOTA 1";1569;;1;
4554;4/3/2010 00:00:00;177,00;"P";"CUOTA 2";1569;;2;
4555;6/4/2010 00:00:00;177,00;"P";"CUOTA 3";1569;;3;
4556;7/4/2010 00:00:00;196,00;"P";"CUOTA 4";1547;;4;
4557;5/1/2010 00:00:00;198,77;"P";"CUOTA 1";1547;;1;
4558;3/2/2010 00:00:00;196,00;"P";"CUOTA 2";1547;;2;
4559;4/3/2010 00:00:00;196,00;"P";"CUOTA 3";1547;;3;
4560;5/5/2010 00:00:00;226,67;"P";"CUOTA 1";1739;;1;
4561;10/5/2010 00:00:00;219,00;"P";"CUOTA 6";1410;;6;
4562;24/4/2010 00:00:00;200,00;"P";"CUOTA 2";1396;;2;
4563;12/4/2010 00:00:00;238,55;"P";"CUOTA 2";1659;;2;
4564;9/4/2010 00:00:00;285,79;"P";"CUOTA 6";1400;;6;
4565;10/12/2009 00:00:00;194,00;"P";"CUOTA 5";1226;;5;
4566;10/1/2010 00:00:00;194,00;"P";"CUOTA 6";1226;;6;
4567;10/3/2010 00:00:00;194,00;"P";"CUOTA 8";1226;;8;
4568;10/4/2010 00:00:00;194,00;"P";"CUOTA 9";1226;;9;
4569;12/3/2010 00:00:00;391,00;"P";"CUOTA 7";1269;;7;
4570;10/4/2010 00:00:00;391,00;"P";"CUOTA 8";1269;;8;
4571;5/1/2010 00:00:00;113,00;"P";"CUOTA 7";1111;;7;
